id,name,category,leetcode_url,leetcode_difficulty,status,first_completed,last_reviewed,next_review,review_count,difficulty_history,notes
65,Task Scheduler,Heap / Priority Queue,https://leetcode.com/problems/task-scheduler/,Medium,not_started,,,0,0,,
66,Design Twitter,Heap / Priority Queue,https://leetcode.com/problems/design-twitter/,Medium,not_started,,,0,0,,
67,Find Median From Data Stream,Heap / Priority Queue,https://leetcode.com/problems/find-median-from-data-stream/,Hard,under_review,2025-09-16T05:35:14.874Z,2025-09-16T05:35:14.874Z,2025-09-16T07:00:00.000Z,1,medium,
68,Subsets,Backtracking,https://leetcode.com/problems/subsets/,Medium,under_review,2025-09-06T06:28:47.025Z,2025-09-06T06:28:47.025Z,2025-09-06T07:00:00.000Z,1,medium,
69,Combination Sum,Backtracking,https://leetcode.com/problems/combination-sum/,Medium,under_review,2025-09-06T19:33:44.899Z,2025-09-06T19:33:44.899Z,2025-09-07T07:00:00.000Z,1,medium,
70,Combination Sum II,Backtracking,https://leetcode.com/problems/combination-sum-ii/,Medium,under_review,2025-09-07T05:46:26.707Z,2025-09-07T05:46:26.707Z,2025-09-07T07:00:00.000Z,1,medium,
71,Permutations,Backtracking,https://leetcode.com/problems/permutations/,Medium,under_review,2025-09-16T04:43:01.742Z,2025-09-16T04:43:01.742Z,2025-09-16T07:00:00.000Z,1,easy,
72,Subsets II,Backtracking,https://leetcode.com/problems/subsets-ii/,Medium,not_started,,,0,0,,
73,Word Search,Backtracking,https://leetcode.com/problems/word-search/,Medium,not_started,,,0,0,,
74,Palindrome Partitioning,Backtracking,https://leetcode.com/problems/palindrome-partitioning/,Medium,not_started,,,0,0,,
75,Letter Combinations of a Phone Number,Backtracking,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,not_started,,,0,0,,
76,N Queens,Backtracking,https://leetcode.com/problems/n-queens/,Hard,not_started,,,0,0,,
77,Implement Trie Prefix Tree,Tries,https://leetcode.com/problems/implement-trie-prefix-tree/,Medium,not_started,,,0,0,,
78,Design Add And Search Words Data Structure,Tries,https://leetcode.com/problems/design-add-and-search-words-data-structure/,Medium,not_started,,,0,0,,
79,Word Search II,Tries,https://leetcode.com/problems/word-search-ii/,Hard,not_started,,,0,0,,
80,Number of Islands,Graphs,https://leetcode.com/problems/number-of-islands/,Medium,under_review,2025-09-07T05:58:05.362Z,2025-09-07T05:58:05.362Z,2025-09-07T07:00:00.000Z,1,easy,
81,Max Area of Island,Graphs,https://leetcode.com/problems/max-area-of-island/,Medium,under_review,2025-09-07T23:43:40.286Z,2025-09-07T23:43:40.286Z,2025-09-08T07:00:00.000Z,1,easy,
82,Clone Graph,Graphs,https://leetcode.com/problems/clone-graph/,Medium,under_review,2025-09-27T04:20:55.471Z,2025-09-27T04:20:55.471Z,2025-09-27T07:00:00.000Z,1,hard,
83,Walls And Gates,Graphs,https://leetcode.com/problems/walls-and-gates/,Medium,not_started,,,0,0,,
84,Rotting Oranges,Graphs,https://leetcode.com/problems/rotting-oranges/,Medium,not_started,,,0,0,,
85,Pacific Atlantic Water Flow,Graphs,https://leetcode.com/problems/pacific-atlantic-water-flow/,Medium,not_started,,,0,0,,
86,Surrounded Regions,Graphs,https://leetcode.com/problems/surrounded-regions/,Medium,not_started,,,0,0,,
87,Course Schedule,Graphs,https://leetcode.com/problems/course-schedule/,Medium,under_review,2025-09-27T05:18:21.606Z,2025-09-27T05:18:21.606Z,2025-09-27T07:00:00.000Z,1,hard,
88,Course Schedule II,Graphs,https://leetcode.com/problems/course-schedule-ii/,Medium,not_started,,,0,0,,
